DP000179,ZZ C & K CALTEX SERVICE CENTER,"SAN ANTONIO, BINANLAGUNA",,50218,0,104-000-545,104-000-545
DP000180,ZZ CANLALAY TRADING,"SAN VICENTE, BINANLAGUNA",,,0,112-398-315NV,112-398-315NV
DP000181,CENTRAL CORRUGATED BOX CORPORATION,"RM2002 20TH FLR.JOLIBEEPLAZA EMERALD AVE.,PASIG",MICHAEL,638-60-91,90,240-000-233-346V,240-000-233-346V
DP000182,CITIMOTOR INCORPORATED,"LIBERTAD ST., CORNERFB HARRISON ST.,PASAY CITY",RODEL ADONA,931-2598/77,0,,
DP000183,CONSOLIDATED COPOLYPACK CORP.,"24 MADISON ST.,MANDALUYONG CITY",FRANCIS VIVIT,631-52-46,45,041-000-052-932-VAT,041-000-052-932-VAT
DP000184,CONSOLIDATED PAPER PRODUCT,"58 9TH ST., 10TH AVENUE,KALOOKAN CITY",BABIE SANCHEZ,361-3585,30,027-000-299-135V,027-000-299-135V
DP000185,DAINICHI AUTO SUPPLY,"45-C AGNO ST., CORNERBANAUE ST.,QUEZON CITY",ALEX KU,731-9511,30,300-104-024-759V,300-104-024-759V
DP000186,ZZ DATACOM SYSTEMS CORP.,"65 SEN. GIL PUYAT AVENUE,MAKATI METRO MANILA",,8152473/24,30,480-000-114-114V,480-000-114-114V
DP000187,DECCA MICO SOFTWARE,"53 ARAGON ST., S.F.D.M.QUEZON CITY",SUZIE,,0,30-7-003015,30-7-003015
DP000188,ZZ DISC INTERNATIONAL SALES CORP.,"530 NUEVA ST.,BINONDO, MANILA",ANALYN,2427848-50,30,030-003-255-583,030-003-255-583
DP000189,ZZ ELBROS MARKETING,UNIT 21-A GOLDLANDPLAZA CONDO. #8 EISENLOWRST. GREENHILLS,MEL,,0,,
DP000190,ZZ E.D. SUAREZ STATIONARY,"259 DASMARINAS ST.,BINONDO METRO MANILA",SYLVIA,240-3290,30,030-103-922-632V,030-103-922-632V
DP000191,FLEXIMAR PACKAGING DESIGN,"F10-118 MERCEDES AVE.BO. SAN MIGUEL PASIG,METRO MANILA",DORIS,833-51-24,30,043-000-286-085V,043-000-286-085V
DP000192,FLEXO MANUFACTURING CORPORATION,"275 A. MABINI ST.,KALOOKAN CITY",TESS MERIN/NELON,285-0148,90,004-984-891-000 VAT,004-984-891-000V (JAN'13)
DP000193,ZZ FLOREMAN ENTERPRISES,"37 BUCANDULA,IMUS CAVITE",,731-5227,60,131-963-112-NV,131-963-112-NV
DP000194,FORMEY PLASTIC INCORPORATED,"27 GOVERNOR PASCUAL,MALABON",TESS/JOHHNY NG,361-2577,90,007-958-057-000VAT(JUN'12,007-958-057-000VAT
DP000195,ZZ FRED CASTRO,"4TH AVENUE LAON-LAONST., KALOOKAN CITY",FRED,287-0071,0,,
DP000196,ZZ ALK FARM,BULACAN,C/O MSYAP,,0,,
DP000197,ZZ GARCIA GRAVEL AND SAND,"ST. KAMUNING RD. CORNER11TH JUMBURY, QUEZON CITY",MRS. BALBUENA,98-16-64,0,,
DP000198,ZZ GELICHEM CORPORATION,"51 PAGASA ST.,MANDALUYONG METRO MANILA",,843-36-57,90,004-449-010V,004-449-010V
DP000199,GREAT EASTERN RESIN INDUSTRIAL CO.,"BARRIO MAAMBUGAN,ANTIPOLO RIZAL",,681-25-35,30,000-097-836-000VAT(JAN'15,000-097-836-000
DP000200,G. L. OTOMETZ CORPORATION,"135 11TH AVENUE CORNER FROXAS ST., GRACE PARKKALOOKAN CITY",SONNY/MELBA,361-05-04,90,290-000-299-797V,290-000-299-797V
DP000201,"IMPLAS PHILIPPINES, INC.","39 LATUKAN ST.,QUEZON CITY",,361-66-99,30,038-000-375-365V,038-000-375-365V
DP000202,ZZ JD LAWRENCE TAILORING,"1154 ESPANA ST.,SAMPALOK METRO MANILA",,731-10-21,0,100-094-049NV,100-094-049NV
DP000203,JOPERS ENTERPRISES,"33 PAZ ST., TUGATOGMALABON METRO MANILA",PERT DELA CRUZ,22-34-13,90,260-102-259-367-VAT,260-102-259-367-VAT
DP000204,ZZ JT PLASTIC MANUFACTURING,"33-35 SIMOUN ST.,ACACIA, MALABONMETRO MANILA",JACQUELINE,288-74-39,30,102-256-768-000 VAT,102-256-768-000 VAT
DP000205,ZZ K & N MEDICAL SUPPLIES,"1510 RIZAL AVENUE.,STA. CRUZ MANILA",NIDA PEREZ,731-49-06,0,104-597-794V,104-597-794V
DP000206,ZZ KOCENCIO INCORPORTATED,"93 ARADA ROAD.,B. PARADA VALENZUELA",,,0,210-000-234-034V,210-000-234-034V
DP000207,ZZ KRANTZ ART ENTERPRISES,"534 CALBAYOGST.,MANDALUYONG METRO MANILA",,70-72-98,30,VAT-481-31-001408,VAT-481-31-001408
DP000208,ZZ KYUNG DONG TRADING ENTERPRISES,"2894 R. MAGSAYSAY BLVD.STA. MESA, MANILA",,62-13-77,30,,
DP000209,LA CROESUS PHARMA INC.,BRGY. STO. TOMASBINAN LAGUNA,WENG,921-99-56,0,001-523-383V,001-523-383V
DP000210,LLOYD LABORATORIES,"10 LLOYD AVENAUEFBIC TIKAY, MALOLOSBULACAN",,7940159,90,450-002-831-311V,450-002-831-311V
DP000211,ZZ LUCKY COMPUTER,"24 BON SERRANO ST.,QUEZON CITY",LOURDES,773-30-31,30,123-456-789,123-456-789
DP000212,MBM ENGENEERING,"80 A. DEL MUNDO ST.,5TH AVENUE GRACE PARKKALOOKAN CITY",RONTA MANZANO,34-59-28,0,,
DP000213,"MDLD INTERCHEMICAL INDUSTRIES, INC.","73 SCOUT FERNANDEZ.,QUEZON CITY",DAISY/ROMER,372-39-84,60,000-387-301V,000-387-301V
DP000214,ZZ MEDICAL PLASTIC CORPORTATION,"188 QPO ST.,LALOMA QUEZON CITY",JOJO,731-88-82,0,VAT-30-2-000115,VAT-30-2-000115
DP000215,ZZ MMC KALAYAAN SHELL SERVICENTER,"131 KALAYAAN AVE. NEARTR. MATALINO ST.,QUEZON CITY",MODESTA/ANA,924-13-82,0,,
DP000216,ZZ MULTIPRO TRADING,"627 DEL MONTE AVE.,QUEZON CITY",,34-11-42,30,002-478-748V,002-478-748V
DP000217,ZZ NUMED TRADING,270 N.S. AMORANTO AVE.STA. MESA HEIGHTSQUEZON CITY,DONDON,731-03-27,90,330-160-300-103V,330-160-300-103V
DP000218,ORIENTAL TIN CAN,"GEN LUIS ST.,BARRIO CAPRI,NVALICHES QUEZON CITY",,905411-14,30,300-000-365-153V,300-000-365-153V
DP000219,PLASTIC CONTAINER PACKAGING,"25 MADISON ST.,MANDALUYONG CITY",FRANCIS VIVIT,6318331-34,90,041-000-060-001-VAT,040-000-060-001-VAT
DP000220,POLYSON INDUSTRIES INC.,"6 OBRERO ST., BOBAGUMBAYAN, QUEZON CITY",MALOU,635-43-33,30,040-000-406-159V,040-000-406-159V
DP000221,PTL AUTO DYNAMICS,"413 E. RODRIGUEZ ST.,BLVD. CUBAO, QUEZON CITY",ROLAN,,30,,
DP000222,QUEZON AVENUE AUTOCENTER,"113 QUEZON AVENUE,QUEZON CITY",BENJIE CRUZ,742-5192-99,0,,
DP000223,"ZZ QUINTIN COMMERCIAL CO., INC.","245 C. JUAN ST.,BINONDO MANILA",GINA,241-69-84,15,300-000-331-486V,300-000-331-486V
DP000224,ZZ RAQUEL LACANILAO,"778 PAVIA ST.,TONDO MANILA",RAQUEL,27-19-80,45,,
DP000225,RENCAR AUTO SUPPLY,"2921-B TAFT AVE.,PASAY CITY",CHARLIE,831-06-03,30,330-146-584-306V,330-146-584-306V
DP000226,ZZ RHINE PACKAGING CORPORATION,"919 TETUAN ST., STA. CRUZMANILA",SUZETTE,40-13-93,90,230-000-328-147V,230-000-328-147V
DP000227,ZZ RONYT PHARMA,"57 SAN ISIDRO ST.,BO. CAPITOLYO, PASINGMETRO MANILA",,635-33-95,90,TAN-4109-291-7,TAN-4109-291-7
DP000228,ROYAL TIRE SUPPLY,423 A. MABINI ST.KALOOKAN CITY,NELSON,287-11-17,60,290-118-311-245V,290-118-311-245V
DP000229,SANWAY PACKAGING CORPORATION,"6 OBRERO ST.,BO. BAGUMBAYAN,QUEZON CITY",FRANCIS VIVIT,635-43-33,90,301-002-924-719V,301-002-924-719V
DP000230,ZZ PHIL. TESTING & CONTROL SERV.,"DON TIM BLDG. 5468 SOUTHSUPERHIGHWAY, MAKATIMETRO MANILA",,,0,048-000-135-377V,048-000-135-377V
DP000231,SHRINKPACK PHILIPPINES CORP.,"12-A SANTIAGO ST.,CANUMAY, VALENZUELA",ROWENA SY,292-52-44,30,000-240-521-000VAT (APR14,000-240-521-000
DP000232,SUNTAN ENTERPRISES,"JAKA II BLDG. 3RD FLOOR150 LEGASPI ST.,LEGASPI VILL MAKATI",,812-71-06,60,321-102-690-205V,321-102-690-205V
DP000233,"SWISS PHARMA RESEARCH LABORATORIES, INC.","416 DASMARINAS ST.,BINONDO MANILA",BING/PHILLIP,241-85-01,90,371-000-145-764V,371-000-145-764V
DP000234,SYNBER MANUFACTURING CORP.,MELITON ESPIRITU AVENUESUKAT RD. PARANAQUE,,40-79-71,0,340-000-410-792V,340-000-410-792V
DP000235,ZZ TASMANIA,589 T. ALONZOBINONDO MANILA,,40-59-07,0,,
DP000236,TEKNIKA SALES & DIESEL SERVICES,"2641 JUAN LUNAGAGALANGIN, TONDO MANILA",CAROL,899-05-42,30,103-789-038V,103-789-038V
DP000237,TRADERS TRAVEL CORP.,"275 JUAN LUNA ST.,BINONDO MANILA",MARIE,241-15-01,30,230-000-296-615,230-000-296-615
